gakku,pop_slope,pop_trend
Aoyama,-101.55952380952384,Down
Chuo,15.190476190476183,Up
Fujimi,-24.107142857142886,Down
Fujio,1.249999999999992,Flat
Hirano,-29.011904761904713,Down
Hiyoshidai,0.0714285714285736,Flat
Ikadachi,15.785714285714283,Up
Ishiyama,-12.523809523809515,Down
Kamitanoue,-3.380952380952384,Down
Karasaki,-5.892857142857096,Down
Katata,26.15476190476191,Up
Katsuragawa,0.9285714285714284,Flat
Kido,-15.41666666666667,Down
Komatsu,-12.833333333333336,Down
Mano,-40.21428571428574,Down
Mano Kita,5.714285714285713,Up
Nagara,-28.130952380952372,Down
Nango,-16.32142857142857,Down
Ogi,-7.3214285714285765,Down
Ogi no Sato,1.8809523809523783,Flat
Ogi no Sato Higashi,-46.16666666666667,Down
Ogoto,-28.27380952380953,Down
Oishi,-20.79761904761905,Down
Ono,1.5119047619047603,Flat
Ousaka,-23.166666666666668,Down
Sakamoto,55.88095238095239,Up
Seiran,-35.333333333333314,Down
Seta,-71.44047619047622,Down
Seta Higashi,-49.97619047619052,Down
Seta Kita,-10.464285714285701,Down
Seta Minami,-35.39285714285715,Down
Shiga,6.130952380952321,Up
Shimosakamoto,24.119047619047638,Up
Tanoue,-28.857142857142872,Down
Wani,-29.452380952380953,Down
Yamanaka Hieidaira,-4.333333333333341,Down
Zeze,-28.72619047619047,Down
