gakku,students_slope,students_trend
Aoyama,-47.785714285714235,Down
Chuo,20.214285714285726,Up
Fujimi,10.928571428571429,Up
Fujio,-0.9285714285714322,Flat
Hirano,-20.821428571428513,Down
Hiyoshidai,2.7857142857142834,Up
Ikadachi,22.142857142857146,Up
Ishiyama,-12.928571428571436,Down
Kamitanoue,0.8214285714285693,Flat
Karasaki,-5.42857142857145,Down
Katata,22.928571428571455,Up
Katsuragawa,1.5357142857142856,Flat
Kido,-10.428571428571427,Down
Komatsu,-4.321428571428561,Down
Mano,-10.821428571428582,Down
Mano Kita,-3.1785714285714355,Down
Nagara,-11.285714285714265,Down
Nango,-7.107142857142831,Down
Ogi,-4.071428571428571,Down
Ogi no Sato,13.142857142857146,Up
Ogi no Sato Higashi,-22.464285714285705,Down
Ogoto,-28.28571428571431,Down
Oishi,-9.071428571428575,Down
Ono,-4.5714285714285685,Down
Ousaka,-1.535714285714281,Flat
Sakamoto,37.928571428571445,Up
Seiran,-5.4285714285714715,Down
Seta,-35.96428571428576,Down
Seta Higashi,-16.142857142857164,Down
Seta Kita,1.7857142857143142,Flat
Seta Minami,-3.9642857142856975,Down
Shiga,5.3571428571428354,Up
Shimosakamoto,17.928571428571434,Up
Tanoue,-17.714285714285708,Down
Wani,-10.642857142857153,Down
Yamanaka Hieidaira,-1.3571428571428517,Flat
Zeze,2.7857142857142967,Up
other,-0.24999999999999023,Flat
